,name,artist_id,popularity,followers
39,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,86,39052879
40,Lil Peep,2kCcBybjl3SAtIcwdWpUe3,82,9209333
41,Tiago PZK,5Y3MV9DZ0d87NnVm56qSY1,79,2781674
42,DJ Snake,540vIaP2JwjQb9dm3aArA4,76,8206778
43,Tainy,0GM7qgcRCORpGnfcN2tCiB,77,1095611
44,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,84,6292690
45,Marshmello,64KEffDW9EtZ1y2vBYgq8T,82,34549823
46,Khalid,6LuN9FCkKOj5PcnpouEgny,85,15628411
47,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,89,51087705
48,Maroon 5,04gDigrS5kc9YWfZHwBETP,84,38663350
49,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,88,21388609
50,THE SCOTTS,2PaZWGu5T5nHjY2xxAkFsT,57,182182
51,JACKBOYS,7A8S43ryYdbWpJKeHRZRcq,64,502450
52,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,88,25028578
53,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,80,7028246
54,Shouse,2TcGJdSOiOvITBzhvfX8XB,69,100086
55,Galantis,4sTQVOfp9vEMCemLw50sbu,73,3288765
56,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,76,562797
57,Joel Corry,6DgP9otnZw5z6daOntINxp,74,310432
58,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,83,39899835
59,Camilo,28gNT5KBp7IjEOQoevXf9N,80,16817592
60,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,87,44447738
61,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,86,30271458
62,Natti Natasha,1GDbiv3spRmZ1XdM1jQbT7,75,8614966
63,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,74,10709805
64,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,88,22039215
65,Baby Keem,5SXuuuRpukkTvsLuUknva1,79,1178260
66,Sam Smith,2wY79sveU1sp5g7SokKOiI,88,20798439
67,Queen,1dfeR4HaWDbWqFHLkxsg1d,84,43764296
68,Beyoncé,6vWDO969PvNqNYHIOW5v0m,86,32729747
69,Fred again..,4oLeXFyACqeem2VImYeBFe,75,402519
70,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,83,4718209
71,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,83,28209670
72,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,84,23863931
73,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,85,18392617
74,Dreamville,1iNqsUDUraNWrj00bqssQG,66,470546
75,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,85,26596793
76,KAROL G,790FomKkXshlbRYZFtlgla,85,30078166
77,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,79,11610840
78,Migos,6oMuImdp5ZcFhWP0ESe6mG,78,12724753
79,Adele,4dpARuHxo51G3z768sgnrY,84,43981274
80,Chris Jedi,0qTZZWLzuD59Un5r1speHm,70,2071511
81,Anuel AA,2R21vXR83lH98kGeO99Y66,86,25021914
82,Halsey,26VFTg2z8YR0cCuwLzESi2,82,18820620
83,G-Eazy,02kJSzxNuaWGqwubyUba0Z,74,5110836
