,name,artist_id
32,The Chainsmokers,69GGBxA162lTqCwzJG5jLp
33,Calvin Harris,7CajNmpbOovFoOoasH2HaY
34,Elton John,3PhoLpVuITZKcymswpck5b
35,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
36,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK
37,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
38,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
39,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4
40,Lil Peep,2kCcBybjl3SAtIcwdWpUe3
41,Tiago PZK,5Y3MV9DZ0d87NnVm56qSY1
42,DJ Snake,540vIaP2JwjQb9dm3aArA4
43,Tainy,0GM7qgcRCORpGnfcN2tCiB
44,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1
45,Marshmello,64KEffDW9EtZ1y2vBYgq8T
46,Khalid,6LuN9FCkKOj5PcnpouEgny
47,Rihanna,5pKCCKE2ajJHZ9KAiaK11H
48,Maroon 5,04gDigrS5kc9YWfZHwBETP
49,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
50,THE SCOTTS,2PaZWGu5T5nHjY2xxAkFsT
51,JACKBOYS,7A8S43ryYdbWpJKeHRZRcq
52,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai
53,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS
54,Shouse,2TcGJdSOiOvITBzhvfX8XB
55,Galantis,4sTQVOfp9vEMCemLw50sbu
56,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
57,Joel Corry,6DgP9otnZw5z6daOntINxp
58,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr
59,Camilo,28gNT5KBp7IjEOQoevXf9N
60,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
61,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
62,Natti Natasha,1GDbiv3spRmZ1XdM1jQbT7
63,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG
64,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
65,Baby Keem,5SXuuuRpukkTvsLuUknva1
66,Sam Smith,2wY79sveU1sp5g7SokKOiI
67,Queen,1dfeR4HaWDbWqFHLkxsg1d
68,Beyoncé,6vWDO969PvNqNYHIOW5v0m
69,Fred again..,4oLeXFyACqeem2VImYeBFe
70,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
71,One Direction,4AK6F7OLvEQ5QYCBNiQWHq
72,Lady Gaga,1HY2Jd0NmPuamShAr6KMms
73,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
74,Dreamville,1iNqsUDUraNWrj00bqssQG
75,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
76,KAROL G,790FomKkXshlbRYZFtlgla
77,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y
78,Migos,6oMuImdp5ZcFhWP0ESe6mG
79,Adele,4dpARuHxo51G3z768sgnrY
80,Chris Jedi,0qTZZWLzuD59Un5r1speHm
81,Anuel AA,2R21vXR83lH98kGeO99Y66
82,Halsey,26VFTg2z8YR0cCuwLzESi2
83,G-Eazy,02kJSzxNuaWGqwubyUba0Z
84,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX
85,The Beatles,3WrFJ7ztbogyGnTHbHJFl2
86,Rema,46pWGuE3dSwY3bMMXGBvVS
87,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
88,Kygo,23fqKkggKUBHNkbKtXEls4
89,Harry Styles,6KImCVD70vtIoJWnq6nGn3
90,Chris Brown,7bXgB6jMjp9ATFy66eO08Z
91,Rvssian,1fctva4kpRbg2k3v7kwRuS
92,Sarz,408vMm7y1227ASq7GmWygZ
93,Sia,5WUlDfRSoLAfcVSX1WnrxN
94,Maluma,1r4hJ1h58CWwUQe3MxPuau
95,Anitta,7FNnA9vBm6EKceENgCGRMb
96,Grupo Firme,1dKdetem2xEmjgvyymzytS
97,Reik,0vR2qb8m9WHeZ5ByCbimq2
98,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
99,Pusha T,0ONHkAv9pCAFxb0zJwDNTy
100,Linkin Park,6XyY86QOPPrYVGvF9ch6wz
101,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx
102,Alesso,4AVFqumd2ogHFlRbKIjp1t
103,Katy Perry,6jJ0s89eD6GaHleKKya26X
