const,loudness,tempo,imputed_album_avg_pop_other,danceability_speechiness_feat_3.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_999.0,days_since_log,popularity_meta_album_avg_pop_other
1.0,-3.117,143.952,1,0,0,1,0,1,0,-6.907755278982137,5789.333333333334
1.0,-7.108,135.026,1,1,0,1,0,1,0,3.4012307144399454,5970.142857142857
1.0,-4.947,147.915,0,0,0,1,0,1,0,3.5553766325098297,5159.0
1.0,-4.842,123.107,0,0,0,1,0,1,0,3.5553766325098297,5544.0
1.0,-4.51,148.756,1,1,0,1,0,1,0,3.5553766325098297,5940.0
1.0,-3.924,119.008,0,0,0,1,0,1,0,-6.907755278982137,5320.0
1.0,-10.227,136.553,0,0,0,1,0,1,0,-6.907755278982137,5340.0
1.0,-5.0360000000000005,117.997,0,0,0,1,0,1,0,-6.907755278982137,5300.0
1.0,-5.466,96.538,0,0,0,1,0,1,0,-6.907755278982137,5200.0
1.0,-8.216000000000001,142.009,0,0,0,1,0,1,0,-6.907755278982137,5320.0
1.0,-5.787000000000001,92.999,0,0,0,1,0,1,0,3.5553766325098297,5205.0
1.0,-4.695,151.168,0,0,0,1,0,1,0,3.5553766325098297,5235.0
1.0,-6.862,79.988,0,0,0,1,0,1,0,3.5553766325098297,5265.0
1.0,-4.788,104.944,0,0,0,1,0,1,0,3.5553766325098297,5280.0
1.0,-5.426,134.111,0,0,0,1,0,1,0,3.5553766325098297,5280.0
1.0,-2.438,119.973,0,1,0,1,0,1,0,3.8918407060656484,5840.0
1.0,-3.529,137.997,0,1,0,1,0,1,0,3.8918407060656484,6360.0
1.0,-2.526,149.94,0,1,0,1,0,1,0,3.8918407060656484,6440.0
1.0,-3.3310000000000004,123.032,0,1,0,1,0,1,0,3.8918407060656484,5100.0
1.0,-3.617,130.005,0,1,0,1,0,1,0,3.8918407060656484,5250.0
1.0,-7.566,123.039,1,0,0,1,0,1,0,2.7726512202867375,5780.666666666667
1.0,-3.3760000000000003,101.279,0,1,0,1,0,1,0,2.639128755635788,5538.0
1.0,-2.587,95.017,0,1,0,1,0,1,0,2.639128755635788,5538.0
1.0,-4.397,90.01100000000002,1,0,1,0,1,0,1,3.5553766325098297,5460.0
1.0,-8.152000000000001,150.004,0,0,0,1,0,1,0,1.9460529959950605,5460.0
1.0,-7.6110000000000015,128.02700000000002,1,0,0,1,0,1,0,3.7376934275237357,5048.571428571428
1.0,-7.695,140.048,1,0,0,1,0,1,0,3.218915824068222,5092.0
1.0,-5.65,142.994,1,0,0,1,0,1,0,3.7376934275237357,6484.375
1.0,-5.205,142.025,0,0,0,1,0,1,0,3.178095496146581,5893.0
1.0,-2.609,196.061,1,0,1,0,1,0,1,2.639128755635788,5550.0
1.0,-4.012,147.959,0,0,0,1,0,1,0,3.8918407060656484,5896.799999999999
1.0,-5.199,107.711,0,0,0,1,0,1,0,3.8918407060656484,5912.4
1.0,-4.424,105.989,0,1,0,1,0,1,0,1.9460529959950605,5520.0
1.0,-4.386,122.074,0,1,0,1,0,1,0,1.9460529959950605,6080.0
1.0,-5.431,74.47399999999998,0,1,0,1,0,1,0,3.3322402238231783,4824.0
1.0,-5.487,114.989,0,1,0,1,0,1,0,3.3322402238231783,4896.0
1.0,-4.779,110.029,1,0,0,1,0,1,0,3.3322402238231783,5183.0
1.0,-5.705,118.01,0,1,0,1,0,1,0,-6.907755278982137,4350.0
1.0,-6.6320000000000014,121.085,0,1,0,1,0,1,0,-6.907755278982137,4387.5
1.0,-5.127999999999999,105.007,0,1,0,1,0,1,0,-6.907755278982137,4237.5
1.0,-4.27,100.052,1,1,0,1,0,1,0,3.8918407060656484,4480.0
1.0,-6.525,94.009,0,0,0,1,0,1,0,2.079566533867987,4845.0
1.0,-7.587999999999999,112.074,0,0,0,1,0,1,0,2.079566533867987,4972.5
1.0,-5.2970000000000015,136.00799999999998,0,0,0,1,0,1,0,2.079566533867987,5312.5
1.0,-4.748,80.04899999999998,0,0,0,1,0,1,0,4.02536954771857,4921.0
1.0,-4.57,139.982,0,0,0,1,0,1,0,4.02536954771857,4939.5
1.0,-4.2780000000000005,73.722,0,0,0,1,0,1,0,4.02536954771857,4939.5
1.0,-4.874,148.089,0,0,0,1,0,1,0,4.02536954771857,4958.0
