,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,days_since,popularity_meta,followers,popularity_count,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other,time_signature_3,time_signature_4,time_signature_5,liveness_speechiness_feat_2.0,liveness_speechiness_feat_3.0,liveness_speechiness_feat_999.0,danceability_speechiness_feat_3.0,danceability_speechiness_feat_999.0,length_speechiness_feat_3.0,length_speechiness_feat_5.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_3.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_5.0,length_tempo_feat_999.0
2404,155880,75,0.62,0.589,0.446,0.0299,0.0727,-14.451,0.0347,88.59100000000002,14011,75.0,5159896.0,10,4,71.0,75.33333333333333,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2405,278680,75,0.398,0.000373,0.952,7.75e-05,0.1,-6.042000000000002,0.061,122.093,14011,75.0,5159896.0,10,4,71.0,75.33333333333333,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2406,269920,73,0.27,0.0050100000000000006,0.944,2.05e-05,0.116,-4.199,0.0975,146.347,17217,75.0,5159896.0,10,2,71.22222222222223,66.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2407,254733,72,0.574,0.0457,0.96,0.0,0.121,-4.9060000000000015,0.032,117.486,14011,75.0,5159896.0,10,4,71.33333333333333,76.33333333333333,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2408,195080,72,0.741,0.294,0.29,0.118,0.0924,-13.251,0.0302,93.699,10091,75.0,5159896.0,10,7,71.33333333333333,74.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2409,199453,69,0.6409999999999999,0.0857,0.894,0.009000000000000001,0.157,-7.41,0.0273,109.823,15337,75.0,5159896.0,10,2,71.66666666666667,67.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2410,301546,67,0.5870000000000001,0.179,0.536,2.75e-05,0.305,-11.248,0.0304,117.498,15337,75.0,5159896.0,10,2,71.88888888888889,69.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2411,266613,66,0.52,0.5760000000000001,0.329,0.0418,0.12,-14.224,0.0266,86.85700000000001,10091,75.0,5159896.0,10,7,72.0,75.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2412,288720,66,0.369,0.623,0.758,1.7800000000000002e-05,0.531,-5.871,0.0364,140.71,17217,75.0,5159896.0,10,2,72.0,73.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2413,158716,77,0.687,0.691,0.589,0.0,0.0882,-4.244,0.0377,109.482,260,73.0,17347148.0,8,1,66.57142857142857,66.57142857142857,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2414,168644,68,0.578,0.279,0.669,0.0,0.171,-4.748,0.0341,110.001,372,73.0,17347148.0,8,3,67.85714285714286,66.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2415,169593,68,0.695,0.334,0.872,0.0,0.954,-3.65,0.0868,121.843,932,73.0,17347148.0,8,1,67.85714285714286,67.85714285714286,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2416,182340,68,0.398,0.778,0.838,0.0,0.189,-4.734,0.13,156.00799999999995,1554,73.0,17347148.0,8,2,67.85714285714286,66.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2417,154662,67,0.5870000000000001,0.562,0.774,0.0,0.071,-4.7189999999999985,0.0665,75.895,372,73.0,17347148.0,8,3,68.0,66.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2418,234961,66,0.6940000000000001,0.611,0.8690000000000001,0.0,0.535,-5.26,0.0857,121.996,1554,73.0,17347148.0,8,2,68.14285714285714,68.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2419,139528,65,0.672,0.458,0.762,0.0,0.0706,-5.7120000000000015,0.0632,137.872,372,73.0,17347148.0,8,3,68.28571428571429,67.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2421,190988,64,0.787,0.415,0.644,0.0,0.153,-5.881,0.0559,119.774,218,73.0,17347148.0,8,1,68.42857142857143,68.42857142857143,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2423,242946,81,0.703,0.5589999999999999,0.444,0.0,0.0973,-9.331,0.0417,150.96,5268,72.0,6852488.0,10,2,51.111111111111114,74.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2424,189613,74,0.625,0.294,0.414,0.0,0.151,-8.7,0.0369,130.088,5268,72.0,6852488.0,10,2,51.888888888888886,81.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2425,240165,71,0.483,0.6940000000000001,0.303,0.0,0.115,-10.058,0.0429,133.406,3836,72.0,6852488.0,10,2,52.22222222222222,52.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2426,216386,52,0.5720000000000001,0.477,0.454,1.3699999999999998e-05,0.0974,-10.286,0.0258,140.18200000000002,3836,72.0,6852488.0,10,2,54.333333333333336,71.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2427,226106,65,0.643,0.204,0.638,0.0,0.0707,-4.947,0.0407,82.001,1526,72.0,6852488.0,10,1,52.888888888888886,52.888888888888886,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2428,256440,18,0.589,0.041,0.867,0.0,0.306,-4.523,0.0385,94.52,7591,72.0,6852488.0,10,2,58.111111111111114,18.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2429,239697,60,0.71,0.0384,0.615,0.0,0.28300000000000003,-8.23,0.133,90.263,910,72.0,6852488.0,10,1,53.44444444444444,53.44444444444444,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2430,257173,46,0.5820000000000001,0.317,0.34700000000000003,0.00678,0.111,-14.769,0.0305,97.957,3015,72.0,6852488.0,10,1,55.0,55.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2431,218240,18,0.615,0.184,0.812,0.0,0.328,-6.573,0.0458,98.954,7591,72.0,6852488.0,10,2,58.111111111111114,18.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2432,243941,56,0.428,0.6970000000000001,0.6940000000000001,0.0,0.764,-8.455,0.0978,145.35299999999995,2950,72.0,6852488.0,10,1,53.888888888888886,53.888888888888886,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2433,227073,75,0.506,0.007109999999999998,0.805,0.00193,0.0856,-4.119,0.0469,126.008,2688,73.0,3288765.0,6,1,69.4,69.4,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2434,190093,62,0.596,0.0391,0.88,0.0,0.0757,-2.697,0.0396,124.048,210,76.0,562797.0,4,2,67.0,57.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
