name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,days_since,liveness_speechiness_feat,danceability_speechiness_feat,length_speechiness_feat,instrumentalness_time_signature_feat,length_tempo_feat
Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,2021-09-17,220433,83,0.583,0.0374,0.67,0.0001,0.126,-7.289,0.0646,140.061,4,392,1.0,2.0,2.0,2.0,2.0
The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,243136,83,0.402,0.0033,0.732,0.0,0.10800000000000001,-4.665,0.0484,161.032,4,553,1.0,2.0,2.0,2.0,2.0
STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,87,0.591,0.0383,0.764,0.0,0.10300000000000001,-5.484,0.0483,169.928,4,448,1.0,2.0,2.0,2.0,2.0
Ghost,Justice,Justin Bieber,2021-03-19,153190,89,0.601,0.185,0.741,2.9100000000000003e-05,0.415,-5.569,0.0478,153.96,4,574,2.0,2.0,2.0,2.0,2.0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,86,0.677,0.321,0.696,0.0,0.42,-6.181,0.11900000000000001,90.03,4,574,2.0,2.0,2.0,2.0,2.0
Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,85,0.609,0.835,0.37799999999999995,0.0,0.28,-9.828,0.43799999999999994,100.41799999999999,4,2527,2.0,2.0,2.0,2.0,2.0
Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,2020-05-08,228482,84,0.597,0.223,0.45,0.0,0.382,-6.6579999999999995,0.0418,178.765,3,889,2.0,2.0,2.0,2.0,2.0
Baby,My World 2.0,Justin Bieber,2010-01-01,214240,82,0.728,0.0401,0.8590000000000001,0.0,0.111,-5.237,0.13699999999999998,65.043,4,4669,2.0,2.0,2.0,2.0,2.0
Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,82,0.654,0.0797,0.76,0.0,0.299,-3.6689999999999996,0.045,99.945,4,2527,2.0,2.0,2.0,2.0,2.0
I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,2019-07-12,219946,75,0.7979999999999999,0.0902,0.6759999999999999,0.0,0.0894,-5.041,0.0442,101.956,4,1190,1.0,3.0,2.0,2.0,2.0
What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,79,0.845,0.59,0.5670000000000001,0.0014199999999999998,0.0811,-8.118,0.0956,125.02,4,2527,2.0,2.0,2.0,2.0,2.0
Hold On,Justice,Justin Bieber,2021-03-19,170813,79,0.6579999999999999,0.0104,0.634,0.0,0.12,-6.068,0.0431,140.002,4,574,2.0,2.0,2.0,2.0,2.0
positions,Positions,Ariana Grande,2020-10-30,172324,85,0.737,0.46799999999999997,0.802,0.0,0.0931,-4.771,0.0878,144.015,4,714,2.0,2.0,2.0,2.0,2.0
7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,85,0.778,0.5920000000000001,0.317,0.0,0.0881,-10.732000000000001,0.33399999999999996,140.048,4,1344,2.0,2.0,2.0,2.0,2.0
One Last Time,My Everything (Deluxe),Ariana Grande,2014-08-25,197266,83,0.628,0.09300000000000001,0.593,1.65e-06,0.096,-5.0360000000000005,0.0323,125.02600000000001,4,2972,2.0,2.0,2.0,2.0,2.0
"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,83,0.7170000000000001,0.22899999999999998,0.653,0.0,0.10099999999999999,-5.6339999999999995,0.0658,106.96600000000001,4,1344,2.0,2.0,2.0,2.0,2.0
34+35,Positions,Ariana Grande,2020-10-30,173710,81,0.83,0.237,0.585,0.0,0.248,-6.476,0.094,109.978,4,714,2.0,2.0,2.0,2.0,2.0
God is a woman,Sweetener,Ariana Grande,2018-08-17,197546,80,0.602,0.0233,0.6579999999999999,5.9999999999999995e-05,0.237,-5.934,0.0558,145.031,4,1519,2.0,2.0,2.0,2.0,2.0
boyfriend (with Social House),boyfriend,Ariana Grande,2019-08-02,186106,80,0.4,0.11900000000000001,0.795,0.0,0.159,-3.7310000000000003,0.461,190.097,4,1169,2.0,2.0,2.0,2.0,2.0
Bang Bang,Sweet Talker (Deluxe Version),Jessie J,2014-10-14,199386,80,0.706,0.26,0.7859999999999999,0.0,0.38,-3.417,0.091,150.028,4,2922,1.0,2.0,2.0,2.0,2.0
Without Me,The Eminem Show,Eminem,2002-05-26,290320,89,0.9079999999999999,0.00286,0.669,0.0,0.237,-2.827,0.0738,112.238,4,7446,2.0,2.0,2.0,2.0,2.0
The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,88,0.9490000000000001,0.0302,0.6609999999999999,0.0,0.0454,-4.244,0.0572,104.50399999999999,4,8179,2.0,2.0,2.0,2.0,2.0
