,name,album,artist,release_date,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,days_since,liveness_speechiness_feat,danceability_speechiness_feat,length_speechiness_feat,instrumentalness_time_signature_feat,length_tempo_feat,Unnamed: 0,artist_id,popularity_meta,followers,popularity_sum,popularity_count,popularity_sum_album,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other
21,Shivers,=,Ed Sheeran,2021-10-29,207853,88,0.7879999999999999,0.281,0.8590000000000001,0.0,0.0424,-2.724,0.0856,141.02,4,350,1.0,3.0,2.0,2.0,2.0,4.0,6eUKZXaKkcviH0Ku9w2n3V,89.0,105322954.0,998,13,177,2,75.83333333333333,89.0,0
22,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,87,0.599,0.163,0.448,0.0,0.106,-6.312,0.0232,95.05,3,2051,1.0,3.0,2.0,2.0,2.0,4.0,6eUKZXaKkcviH0Ku9w2n3V,89.0,105322954.0,998,13,254,3,75.91666666666667,83.5,0
23,Bam Bam (feat. Ed Sheeran),Familia,Camila Cabello,2022-04-07,206070,82,0.7559999999999999,0.182,0.6970000000000001,0.0,0.333,-6.377000000000002,0.0401,94.996,4,190,1.0,3.0,2.0,2.0,2.0,5.0,4nDoRrQiYLoBzwC5BhVJzF,80.0,28573844.0,454,6,156,2,74.4,74.0,0
24,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,86,0.825,0.581,0.652,0.0,0.0931,-3.1830000000000003,0.0802,95.977,4,2051,1.0,3.0,2.0,2.0,2.0,4.0,6eUKZXaKkcviH0Ku9w2n3V,89.0,105322954.0,998,13,254,3,76.0,84.0,0
25,Photograph,x (Wembley Edition),Ed Sheeran,2013-01-01,258986,66,0.614,0.607,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4,3573,1.0,3.0,2.0,2.0,2.0,4.0,6eUKZXaKkcviH0Ku9w2n3V,89.0,105322954.0,998,13,132,2,77.66666666666667,66.0,0
26,Celestial,Celestial,Ed Sheeran,2022-09-29,209026,85,0.574,0.0529,0.852,0.0,0.161,-1.248,0.0397,123.038,4,15,1.0,3.0,2.0,2.0,2.0,4.0,6eUKZXaKkcviH0Ku9w2n3V,89.0,105322954.0,998,13,85,1,76.08333333333333,76.08333333333333,1
27,Thinking out Loud,x (Wembley Edition),Ed Sheeran,2013-01-01,281560,66,0.7809999999999999,0.474,0.445,0.0,0.184,-6.061,0.0295,78.998,4,3573,1.0,3.0,2.0,2.0,2.0,4.0,6eUKZXaKkcviH0Ku9w2n3V,89.0,105322954.0,998,13,132,2,77.66666666666667,66.0,0
29,Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,81,0.522,0.536,0.385,0.0,0.135,-7.355,0.0288,89.792,4,2051,1.0,3.0,2.0,2.0,2.0,4.0,6eUKZXaKkcviH0Ku9w2n3V,89.0,105322954.0,998,13,254,3,76.41666666666667,86.5,0
30,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,91,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,938,3.0,3.0,3.0,2.0,2.0,7.0,1Xyo4u8uXC1ZmMpatF05PJ,93.0,52885058.0,708,8,181,2,88.14285714285714,90.0,0
31,I Was Never There,"My Dear Melancholy,",The Weeknd,2018-03-30,241066,91,0.32299999999999995,0.142,0.737,0.000162,0.163,-4.008,0.0338,113.26,4,1659,3.0,3.0,3.0,2.0,2.0,7.0,1Xyo4u8uXC1ZmMpatF05PJ,93.0,52885058.0,708,8,181,2,88.14285714285714,90.0,0
