,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,days_since,popularity_meta,followers,popularity_count,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other,time_signature_3,time_signature_4,time_signature_5,liveness_speechiness_feat_2.0,liveness_speechiness_feat_3.0,liveness_speechiness_feat_999.0,danceability_speechiness_feat_3.0,danceability_speechiness_feat_999.0,length_speechiness_feat_3.0,length_speechiness_feat_5.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_3.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_5.0,length_tempo_feat_999.0,days_since_log,acousticness_loudness,instrumentalness_loudness,instrumentalness_acousticness,followers_root
36,242253,88,0.585,0.0671,0.564,0.0,0.135,-7.063,0.0515,113.003,2604,93.0,52885058.0,8,1,88.57142857142857,88.57142857142857,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,7.864804387352963,0.001345067588042642,0.0,0.0,7272.211355564413
38,191013,81,0.65,0.0215,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,938,93.0,52885058.0,8,1,89.57142857142857,89.57142857142857,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,6.843751015103737,0.000996476413055695,1.1308848594678585e-06,5.245999999999999e-07,7272.211355564413
39,186173,84,0.828,0.0164,0.621,0.00233,0.0845,-6.414,0.0565,128.986,476,86.0,23023983.0,10,6,82.66666666666667,83.6,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,6.16541995506955,0.0003986446470920478,5.663670900758971e-05,3.8212000000000006e-05,4798.331272432115
40,236413,89,0.615,0.106,0.534,1.76e-05,0.0607,-6.7189999999999985,0.0386,135.917,1799,100.0,62572904.0,15,1,80.64285714285714,80.64285714285714,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.494986789814748,0.0023479918390005928,3.898552487397211e-07,1.8656e-06,7910.303660416584
41,261922,87,0.532,0.5379999999999999,0.623,7.28e-05,0.0925,-9.208,0.0331,89.93700000000003,812,100.0,62572904.0,15,3,80.78571428571429,82.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.699501571688013,0.006345292613758593,8.586195209695643e-07,3.916639999999999e-05,7910.303660416584
42,231826,77,0.753,0.085,0.6779999999999999,1.64e-06,0.13,-5.421,0.0644,96.006,2909,100.0,62572904.0,15,1,81.5,81.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.975565002255885,0.002892411710238467,5.5806531821071597e-08,1.3940000000000002e-07,7910.303660416584
43,178426,86,0.552,0.117,0.7020000000000001,2.0600000000000006e-05,0.105,-5.707000000000002,0.157,169.99400000000003,1148,100.0,62572904.0,15,4,80.85714285714286,82.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.045777447959272,0.0035922794729567197,6.324868131872517e-07,2.4102000000000007e-06,7910.303660416584
44,221306,86,0.359,0.4920000000000001,0.5429999999999999,1.58e-05,0.118,-7.582000000000002,0.0919,68.53399999999999,1148,100.0,62572904.0,15,4,80.85714285714286,82.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.045777447959272,0.008558497784636326,2.748460670675893e-07,7.773600000000003e-06,7910.303660416584
45,613026,85,0.631,0.274,0.518,0.0,0.08800000000000001,-8.771,0.0303,93.023,336,100.0,62572904.0,15,2,80.92857142857143,76.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5.817114136149251,0.003561659031695918,0.0,0.0,7910.303660416584
46,239560,83,0.613,0.537,0.581,0.00034500000000000004,0.25,-8.588,0.0424,130.033,812,100.0,62572904.0,15,3,81.07142857142857,84.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.699501571688013,0.007280986304912198,4.677728631647501e-06,0.00018526500000000002,7910.303660416584
47,222400,83,0.8109999999999999,0.0129,0.7190000000000001,1.36e-05,0.0742,-6.553,0.0497,103.979,1148,100.0,62572904.0,15,4,81.07142857142857,83.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.045777447959272,0.00030040653387471405,3.1670766361985355e-07,1.7544000000000001e-07,7910.303660416584
48,220433,83,0.583,0.0374,0.67,0.0001,0.126,-7.289,0.0646,140.061,392,100.0,62572904.0,15,1,81.07142857142857,81.07142857142857,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5.971264390807617,0.0007039400938698469,1.8821927643578794e-06,3.7400000000000006e-06,7910.303660416584
49,243136,83,0.402,0.0033,0.732,0.0,0.108,-4.665,0.0484,161.032,553,100.0,62572904.0,15,1,81.07142857142857,81.07142857142857,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.315359809838964,0.0001516389064077777,0.0,0.0,7910.303660416584
50,141805,87,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,448,80.0,4090880.0,9,1,75.0,75.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.104795464555351,0.0012735144636662002,0.0,0.0,2022.5923959117417
51,153190,89,0.601,0.185,0.741,2.9100000000000006e-05,0.415,-5.569,0.0478,153.96,574,89.0,67640519.0,9,5,79.875,77.75,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6.352631138478327,0.005965094011010145,9.382931660561905e-07,5.383500000000001e-06,8224.385630550163
52,198081,86,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,574,89.0,67640519.0,9,5,80.25,78.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6.352631138478327,0.008402094178785728,0.0,0.0,8224.385630550163
53,233720,85,0.609,0.835,0.378,0.0,0.28,-9.828,0.438,100.418,2527,89.0,67640519.0,9,3,80.375,80.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7.834788503114273,0.00864482447714031,0.0,0.0,8224.385630550163
54,228482,84,0.597,0.223,0.45,0.0,0.382,-6.658,0.0418,178.765,889,88.0,85056061.0,8,1,82.42857142857143,82.42857142857143,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6.790098360372665,0.0050305709828905535,0.0,0.0,9222.584290750614
55,214240,82,0.728,0.0401,0.8590000000000001,0.0,0.111,-5.237,0.13699999999999998,65.043,4669,89.0,67640519.0,9,1,80.75,80.75,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.44870040914954,0.0014621072305067468,0.0,0.0,8224.385630550163
