name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,track_id,genres
Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,91,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0VjIjW4GlUZAMYd2vXMi3b,"['canadian contemporary r&b', 'canadian pop', 'pop']"
I Was Never There,"My Dear Melancholy,",The Weeknd,2018-03-30,241066,91,0.323,0.142,0.737,0.000162,0.163,-4.008,0.0338,113.26,4,1cKHdTo9u0ZymJdPGSh6nq,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Starboy,Starboy,The Weeknd,2016-11-25,230453,90,0.679,0.141,0.587,6.35e-06,0.137,-7.015,0.276,186.003,4,7MXVkk9YMctZqd1Srtv4MB,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-30,228373,90,0.461,0.17,0.593,0.0,0.307,-4.954,0.0356,134.17,3,09mEdoA6zrmBPgTEN5qXmN,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,90,0.68,0.0212,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,4,5QO79kh1waicV47BqGRL3g,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Die For You,Starboy,The Weeknd,2016-11-24,260253,87,0.586,0.111,0.525,0.0,0.134,-7.163,0.0615,133.629,4,26hOm7dTtBi0TdpDGl141t,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,242253,88,0.585,0.0671,0.564,0.0,0.135,-7.063,0.0515,113.003,4,7fBv7CLKzipRk6EC6TWHOB,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Lost in the Fire (feat. The Weeknd),Hyperion,Gesaffelstein,2019-03-08,202093,85,0.658,0.0933,0.671,0.000927,0.115,-12.21,0.0363,100.966,4,2vXKRlJBXyOcvZYTdNeckS,"['dark clubbing', 'destroy techno', 'electro house']"
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,After Hours (Deluxe),The Weeknd,2020-03-20,191013,81,0.65,0.0215,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,4,1oFAF1hdPOickyHgbuRjyX,"['canadian contemporary r&b', 'canadian pop', 'pop']"
You Right,Planet Her,Doja Cat,2021-06-25,186173,84,0.828,0.0164,0.621,0.00233,0.0845,-6.414,0.0565,128.986,4,0k4d5YPDr1r7FX77VdqWez,"['dance pop', 'pop']"
Don’t Blame Me,reputation,Taylor Swift,2017-11-10,236413,89,0.615,0.106,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,4,1R0a2iXumgCiFb7HEZ7gUE,['pop']
august,folklore,Taylor Swift,2020-07-24,261922,87,0.532,0.538,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,4,3hUxzQpSfdDqwM3ZTFQY0K,['pop']
Blank Space,1989,Taylor Swift,2014-10-27,231826,77,0.753,0.085,0.678,1.64e-06,0.13,-5.421,0.0644,96.006,4,1p80LdxRV74UKvL8gnD7ky,['pop']
Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,86,0.552,0.117,0.702,2.06e-05,0.105,-5.707,0.157,169.994,4,1BxfuPKGuaTgP7aM0Bbdwr,['pop']
Lover,Lover,Taylor Swift,2019-08-23,221306,86,0.359,0.492,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,4,38T3drW9FsXQ3mfshCj9gE,['pop']
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,613026,85,0.631,0.274,0.518,0.0,0.088,-8.771,0.0303,93.023,4,5enxwA8aAbwZbf5qCHORXi,['pop']
cardigan,folklore,Taylor Swift,2020-07-24,239560,83,0.613,0.537,0.581,0.000345,0.25,-8.588,0.0424,130.033,4,0levMHO1k1TYMpJQRKmIpW,['pop']
Paper Rings,Lover,Taylor Swift,2019-08-23,222400,83,0.811,0.0129,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,4,4y5bvROuBDPr5fuwXbIBZR,['pop']
Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,2021-09-17,220433,83,0.583,0.0374,0.67,0.0001,0.126,-7.289,0.0646,140.061,4,1Ov37jtRQ2YNAe8HzfczkL,['pop']
The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,243136,83,0.402,0.0033,0.732,0.0,0.108,-4.665,0.0484,161.032,4,22bPsP2jCgbLUvh82U0Z3M,['pop']
STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,87,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4,5HCyWlXZPP0y6Gqq8TgA20,"['australian hip hop', 'pop']"
Ghost,Justice,Justin Bieber,2021-03-19,153190,89,0.601,0.185,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,4,6I3mqTwhRpn34SLVafSH7G,"['canadian pop', 'pop']"
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,86,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,4,4iJyoBOLtHqaGxP12qzhQI,"['canadian pop', 'pop']"
Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,85,0.609,0.835,0.378,0.0,0.28,-9.828,0.438,100.418,4,50kpGaPAhYJ3sGmk6vplg0,"['canadian pop', 'pop']"
Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,2020-05-08,228482,84,0.597,0.223,0.45,0.0,0.382,-6.658,0.0418,178.765,3,4HBZA5flZLE435QTztThqH,"['dance pop', 'pop']"
Baby,My World 2.0,Justin Bieber,2010-01-01,214240,82,0.728,0.0401,0.859,0.0,0.111,-5.237,0.137,65.043,4,5MPPttjfGap2C6j6eKcO6J,"['canadian pop', 'pop']"
Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,82,0.654,0.0797,0.76,0.0,0.299,-3.669,0.045,99.945,4,09CtPGIpYB4BrO8qb1RGsF,"['canadian pop', 'pop']"
I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,2019-07-12,219946,75,0.798,0.0902,0.676,0.0,0.0894,-5.041,0.0442,101.956,4,3HVWdVOQ0ZA45FuZGSfvns,"['pop', 'uk pop']"
What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,79,0.845,0.59,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4,3bLbHvEaFGsaPh1QqU4ojx,"['canadian pop', 'pop']"
Hold On,Justice,Justin Bieber,2021-03-19,170813,79,0.658,0.0104,0.634,0.0,0.12,-6.068,0.0431,140.002,4,5vjLSffimiIP26QG5WcN2K,"['canadian pop', 'pop']"
positions,Positions,Ariana Grande,2020-10-30,172324,85,0.737,0.468,0.802,0.0,0.0931,-4.771,0.0878,144.015,4,35mvY5S1H3J2QZyna3TFe0,"['dance pop', 'pop']"
7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,85,0.778,0.592,0.317,0.0,0.0881,-10.732,0.334,140.048,4,6ocbgoVGwYJhOv1GgI9NsF,"['dance pop', 'pop']"
One Last Time,My Everything (Deluxe),Ariana Grande,2014-08-25,197266,83,0.628,0.093,0.593,1.65e-06,0.096,-5.036,0.0323,125.026,4,7xoUc6faLbCqZO6fQEYprd,"['dance pop', 'pop']"
"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,83,0.717,0.229,0.653,0.0,0.101,-5.634,0.0658,106.966,4,3e9HZxeyfWwjeyPAMmWSSQ,"['dance pop', 'pop']"
34+35,Positions,Ariana Grande,2020-10-30,173710,81,0.83,0.237,0.585,0.0,0.248,-6.476,0.094,109.978,4,6Im9k8u9iIzKMrmV7BWtlF,"['dance pop', 'pop']"
God is a woman,Sweetener,Ariana Grande,2018-08-17,197546,80,0.602,0.0233,0.658,6e-05,0.237,-5.934,0.0558,145.031,4,5OCJzvD7sykQEKHH7qAC3C,"['dance pop', 'pop']"
boyfriend (with Social House),boyfriend,Ariana Grande,2019-08-02,186106,80,0.4,0.119,0.795,0.0,0.159,-3.731,0.461,190.097,4,0Ryd8975WihbObpp5cPW1t,"['dance pop', 'pop']"
Bang Bang,Sweet Talker (Deluxe Version),Jessie J,2014-10-14,199386,80,0.706,0.26,0.786,0.0,0.38,-3.417,0.091,150.028,4,0puf9yIluy9W0vpMEUoAnN,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
Without Me,The Eminem Show,Eminem,2002-05-26,290320,89,0.908,0.00286,0.669,0.0,0.237,-2.827,0.0738,112.238,4,7lQ8MOhq6IN2w8EYcFNSUk,"['detroit hip hop', 'hip hop', 'rap']"
The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,88,0.949,0.0302,0.661,0.0,0.0454,-4.244,0.0572,104.504,4,3yfqSUWxFvZELEM4PmlwIR,"['detroit hip hop', 'hip hop', 'rap']"
Till I Collapse,The Eminem Show,Eminem,2002-05-26,297786,86,0.548,0.0622,0.847,0.0,0.0816,-3.237,0.186,171.447,4,4xkOaSrkexMciUUogZKVTS,"['detroit hip hop', 'hip hop', 'rap']"
Superman,The Eminem Show,Eminem,2002-05-26,350320,86,0.802,0.0215,0.755,0.0,0.295,-3.138,0.0564,130.027,4,4woTEX1wYOTGDqNXuavlRC,"['detroit hip hop', 'hip hop', 'rap']"
Stan,The Marshall Mathers LP,Eminem,2000-05-23,404106,85,0.78,0.0371,0.768,2.34e-06,0.518,-4.325,0.238,80.063,4,3UmaczJpikHgJFyBTAJVoz,"['detroit hip hop', 'hip hop', 'rap']"
Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,210800,84,0.808,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,4,7FIWs0pqAYbP91WWM0vlTQ,"['detroit hip hop', 'hip hop', 'rap']"
Love The Way You Lie,Recovery,Eminem,2010-06-18,263373,84,0.749,0.241,0.925,0.0,0.52,-5.034,0.227,86.989,4,15JINEqzVMv3SvJTAXAKED,"['detroit hip hop', 'hip hop', 'rap']"
Mockingbird,Encore (Deluxe Version),Eminem,2004-11-12,250760,81,0.637,0.209,0.678,0.0,0.156,-3.798,0.266,84.039,4,561jH07mF1jHuk7KlaeF0s,"['detroit hip hop', 'hip hop', 'rap']"
Not Afraid,Recovery,Eminem,2010-06-18,248133,81,0.855,0.529,0.954,0.0,0.205,-1.19,0.264,114.635,5,7Ie9W94M7OjPoZVV216Xus,"['detroit hip hop', 'hip hop', 'rap']"
"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call: The Hits (Deluxe Edition),Eminem,2005-12-06,326466,78,0.692,0.00868,0.744,0.000423,0.359,-4.565,0.257,171.374,4,5Z01UMMf7V1o0MzF86s6WJ,"['detroit hip hop', 'hip hop', 'rap']"
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,192840,92,0.733,0.121,0.67,0.0,0.121,-6.009,0.0751,100.964,4,0O6u0VJ46W86TxN9wgyqDj,"['dfw rap', 'melodic rap', 'rap']"
Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,88,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,21jGcNKet2qwijlDFuPiPb,"['dfw rap', 'melodic rap', 'rap']"
